"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
31, -6.096000000000000e-02, 1.775804848739819e-03, 1.138319766997060e+00, 7.871094797327535e+01, 2.365860815878170e-05, 2.458505809740266e+05, 9.725171341445549e+04, 2.976208340757822e+02, 1.999357036981847e-01, 1.884893756548824e-01, 1.834636874599281e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
32, -6.096000000000000e-02, 1.620363610340212e-03, 1.138319777345675e+00, 7.871093413339109e+01, 2.157222269286786e-05, 2.458505830868016e+05, 9.725171465225378e+04, 2.976208351581244e+02, 1.999356663619481e-01, 1.884898326174609e-01, 1.834636879740499e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
33, -6.096000000000000e-02, 1.478383262427638e-03, 1.138319785971710e+00, 7.871092255103909e+01, 1.967192297991587e-05, 2.458505848447018e+05, 9.725171568401455e+04, 2.976208360603058e+02, 1.999356351231977e-01, 1.884902135164029e-01, 1.834636884025937e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
34, -6.096000000000000e-02, 1.348684327814154e-03, 1.138319793161686e+00, 7.871091283371804e+01, 1.794229310377825e-05, 2.458505863055786e+05, 9.725171654400851e+04, 2.976208368122937e+02, 1.999356089245405e-01, 1.884905310035574e-01, 1.834636887597943e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
35, -6.096000000000000e-02, 1.230189355029008e-03, 1.138319799154565e+00, 7.871090465648528e+01, 1.636897000858539e-05, 2.458505875178479e+05, 9.725171726081798e+04, 2.976208374390801e+02, 1.999355868902146e-01, 1.884907956307649e-01, 1.834636890575232e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
36, -6.096000000000000e-02, 1.121913967576857e-03, 1.138319804149617e+00, 7.871089775102227e+01, 1.493857577225799e-05, 2.458505885220659e+05, 9.725171785827729e+04, 2.976208379615061e+02, 1.999355682966572e-01, 1.884910161970295e-01, 1.834636893056800e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
37, -6.096000000000000e-02, 1.022958686400276e-03, 1.138319808312981e+00, 7.871089189629430e+01, 1.363866550607042e-05, 2.458505893522321e+05, 9.725171835625870e+04, 2.976208383969480e+02, 1.999355525473943e-01, 1.884912000386707e-01, 1.834636895125186e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
38, -6.096000000000000e-02, 9.325014576129875e-04, 1.138319811783165e+00, 7.871088691058998e+01, 1.245768363401673e-05, 2.458505900368674e+05, 9.725171877132890e+04, 2.976208387598921e+02, 1.999355391516631e-01, 1.884913532716734e-01, 1.834636896849201e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
39, -6.096000000000000e-02, 8.497908234294216e-04, 1.138319814675624e+00, 7.871088264475216e+01, 1.138492503168641e-05, 2.458505905999060e+05, 9.725171911729744e+04, 2.976208390624130e+02, 1.999355277062510e-01, 1.884914809941599e-01, 1.834636898286202e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
40, -6.096000000000000e-02, 7.741396795590605e-04, 1.138319817086589e+00, 7.871087897642072e+01, 1.041049684199927e-05, 2.458505910614325e+05, 9.725171940567449e+04, 2.976208393145756e+02, 1.999355178800653e-01, 1.884915874553832e-01, 1.834636899483995e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
41, -6.096000000000000e-02, 7.049195672063868e-04, 1.138319819096261e+00, 7.871087580520850e+01, 9.525280978971834e-06, 2.458505914382959e+05, 9.725171964605295e+04, 2.976208395247681e+02, 1.999355094012057e-01, 1.884916761967893e-01, 1.834636900482427e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
42, -6.096000000000000e-02, 6.415554522581113e-04, 1.138319820771476e+00, 7.871087304895021e+01, 8.720897294831935e-06, 2.458505917446407e+05, 9.725171984642708e+04, 2.976208396999804e+02, 1.999355020468750e-01, 1.884917501696468e-01, 1.834636901314700e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
43, -6.096000000000000e-02, 5.835209482867109e-04, 1.138319822167926e+00, 7.871087064148331e+01, 7.989667294969900e-06, 2.458505919924122e+05, 9.725172001345819e+04, 2.976208398460376e+02, 1.999354956372737e-01, 1.884918118331428e-01, 1.834636902008485e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
44, -6.096000000000000e-02, 5.303339436862253e-04, 1.138319823332012e+00, 7.871086853252625e+01, 7.324573934335506e-06, 2.458505921918973e+05, 9.725172015269625e+04, 2.976208399677922e+02, 1.999354900349005e-01, 1.884918632361696e-01, 1.834636902586829e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
45, -6.096000000000000e-02, 4.815525966134482e-04, 1.138319824302389e+00, 7.871086668963686e+01, 6.719210035964067e-06, 2.458505923523186e+05, 9.725172026876446e+04, 2.976208400692862e+02, 1.999354851492013e-01, 1.884919060855022e-01, 1.834636903068934e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
46, -6.096000000000000e-02, 4.367716644632136e-04, 1.138319825111255e+00, 7.871086510095094e+01, 6.167699240321902e-06, 2.458505924824065e+05, 9.725172036551393e+04, 2.976208401538872e+02, 1.999354809432531e-01, 1.884919418028625e-01, 1.834636903470797e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
