"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
40, -6.096000000000000e-02, 7.741396795590605e-04, 1.138319817090791e+00, 7.871087897094959e+01, 1.041005042047052e-05, 2.458505910623006e+05, 9.725171940617706e+04, 2.976208393150150e+02, 1.999355178652822e-01, 1.884915876409170e-01, 1.834636899486082e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
41, -6.096000000000000e-02, 7.049195672063868e-04, 1.138319819100456e+00, 7.871087579979420e+01, 9.524843116266214e-06, 2.458505914391658e+05, 9.725171964655466e+04, 2.976208395252067e+02, 1.999355093865685e-01, 1.884916763820061e-01, 1.834636900484511e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
42, -6.096000000000000e-02, 6.415554522581113e-04, 1.138319820775664e+00, 7.871087304360910e+01, 8.720468398342202e-06, 2.458505917455137e+05, 9.725171984692801e+04, 2.976208397004186e+02, 1.999355020324252e-01, 1.884917503545788e-01, 1.834636901316781e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
43, -6.096000000000000e-02, 5.835209482867109e-04, 1.138319822172108e+00, 7.871087063623467e+01, 7.989247647990398e-06, 2.458505919932897e+05, 9.725172001395837e+04, 2.976208398464750e+02, 1.999354956230601e-01, 1.884918120177956e-01, 1.834636902010563e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
44, -6.096000000000000e-02, 5.303339436862253e-04, 1.138319823336188e+00, 7.871086852739057e+01, 7.324164005727798e-06, 2.458505921927808e+05, 9.725172015319570e+04, 2.976208399682288e+02, 1.999354900209751e-01, 1.884918634205537e-01, 1.834636902588903e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
45, -6.096000000000000e-02, 4.815525966134482e-04, 1.138319824306559e+00, 7.871086668463350e+01, 6.718810311777095e-06, 2.458505923532095e+05, 9.725172026926321e+04, 2.976208400697224e+02, 1.999354851356132e-01, 1.884919062696284e-01, 1.834636903071006e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
46, -6.096000000000000e-02, 4.367716644632136e-04, 1.138319825115419e+00, 7.871086509609863e+01, 6.167309829125138e-06, 2.458505924833063e+05, 9.725172036601204e+04, 2.976208401543227e+02, 1.999354809300499e-01, 1.884919419867524e-01, 1.834636903472865e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
47, -6.096000000000000e-02, 3.956191373855600e-04, 1.138319825789588e+00, 7.871086377140142e+01, 5.664202595043522e-06, 2.458505925916921e+05, 9.725172044665030e+04, 2.976208402248354e+02, 1.999354774230564e-01, 1.884919717562772e-01, 1.834636903807806e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
48, -6.096000000000000e-02, 3.577531478782003e-04, 1.138319826351413e+00, 7.871086273795926e+01, 5.204298226408543e-06, 2.458505926868916e+05, 9.725172051385096e+04, 2.976208402835978e+02, 1.999354746795663e-01, 1.884919965649926e-01, 1.834636904086933e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
49, -6.096000000000000e-02, 3.228591307813811e-04, 1.138319826819517e+00, 7.871086203171433e+01, 4.782518530365383e-06, 2.458505927769144e+05, 9.725172056984143e+04, 2.976208403325577e+02, 1.999354727869522e-01, 1.884920172352028e-01, 1.834636904319497e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
50, -6.096000000000000e-02, 2.906472100822222e-04, 1.138319827209417e+00, 7.871086168422440e+01, 4.393765318777851e-06, 2.458505928685452e+05, 9.725172061647769e+04, 2.976208403733373e+02, 1.999354718221042e-01, 1.884920344520815e-01, 1.834636904513203e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
51, -6.096000000000000e-02, 2.608497908198404e-04, 1.138319827534043e+00, 7.871086171044695e+01, 4.032848927533183e-06, 2.458505929666518e+05, 9.725172065530549e+04, 2.976208404072873e+02, 1.999354718202917e-01, 1.884920487862836e-01, 1.834636904674468e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
52, -6.096000000000000e-02, 2.332193360865242e-04, 1.138319827804148e+00, 7.871086210164248e+01, 3.694503200141457e-06, 2.458505930738183e+05, 9.725172068761043e+04, 2.976208404355300e+02, 1.999354727570496e-01, 1.884920607124202e-01, 1.834636904808624e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
53, -6.096000000000000e-02, 2.075263106576464e-04, 1.138319828028665e+00, 7.871086282547847e+01, 3.373488134546448e-06, 2.458505931904564e+05, 9.725172071446008e+04, 2.976208404589970e+02, 1.999354745483672e-01, 1.884920706246054e-01, 1.834636904920094e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
54, -6.096000000000000e-02, 1.835572741674951e-04, 1.138319828214989e+00, 7.871086383203836e+01, 3.064761816365071e-06, 2.458505933153066e+05, 9.725172073673828e+04, 2.976208404784596e+02, 1.999354770658922e-01, 1.884920788491297e-01, 1.834636905012542e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
55, -6.096000000000000e-02, 1.611131079903361e-04, 1.138319828369222e+00, 7.871086506201979e+01, 2.763688554316500e-06, 2.458505934460774e+05, 9.725172075517454e+04, 2.976208404945552e+02, 1.999354801577035e-01, 1.884920856553113e-01, 1.834636905088999e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
56, -6.096000000000000e-02, 1.400073610968800e-04, 1.138319828496371e+00, 7.871086645314708e+01, 2.466242770973645e-06, 2.458505935799493e+05, 9.725172077036819e+04, 2.976208405078085e+02, 1.999354836645572e-01, 1.884920912644091e-01, 1.834636905151952e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
57, -6.096000000000000e-02, 1.200647011445721e-04, 1.138319828600526e+00, 7.871086794255972e+01, 2.169171769798460e-06, 2.458505937137906e+05, 9.725172078280925e+04, 2.976208405186502e+02, 1.999354874259169e-01, 1.884920958573205e-01, 1.834636905203452e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
58, -6.096000000000000e-02, 1.011194579345032e-04, 1.138319828684998e+00, 7.871086946546215e+01, 1.870091746519239e-06, 2.458505938441069e+05, 9.725172079289515e+04, 2.976208405274306e+02, 1.999354912764943e-01, 1.884920995807708e-01, 1.834636905245159e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
59, -6.096000000000000e-02, 8.301424713486272e-05, 1.138319828752446e+00, 7.871087095229761e+01, 1.567503368937495e-06, 2.458505939668816e+05, 9.725172080094575e+04, 2.976208405344331e+02, 1.999354950390443e-01, 1.884921025528405e-01, 1.834636905278422e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
60, -6.096000000000000e-02, 6.559866283782578e-05, 1.138319828804975e+00, 7.871087232732798e+01, 1.260735660759336e-06, 2.458505940775061e+05, 9.725172080721435e+04, 2.976208405398829e+02, 1.999354985207371e-01, 1.884921048670432e-01, 1.834636905304308e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
61, -6.096000000000000e-02, 4.872802808848275e-05, 1.138319828844252e+00, 7.871087351078080e+01, 9.498216176417674e-07, 2.458505941709596e+05, 9.725172081190062e+04, 2.976208405439552e+02, 1.999355015185895e-01, 1.884921065970908e-01, 1.834636905323653e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
62, -6.096000000000000e-02, 3.226219300605626e-05, 1.138319828871484e+00, 7.871087442515618e+01, 6.353897554392164e-07, 2.458505942422435e+05, 9.725172081514986e+04, 2.976208405467790e+02, 1.999355038354863e-01, 1.884921077966243e-01, 1.834636905337066e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
63, -6.096000000000000e-02, 1.606437051299814e-05, 1.138319828888191e+00, 7.871087500507916e+01, 3.184053263411489e-07, 2.458505942872348e+05, 9.725172081712249e+04, 2.976208405484477e+02, 1.999355053050685e-01, 1.884921085248669e-01, 1.834636905344992e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
64, -6.096000000000000e-02, 0.000000000000000e+00, 1.138319828894660e+00, 7.871087522093316e+01, 8.052756372876206e-10, 2.458505943039808e+05, 9.725172081785687e+04, 2.976208405490037e+02, 1.999355058520418e-01, 1.884921087959796e-01, 1.834636905347633e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
